"","S_24h_CSA2_Rep1","S_24h_CSA4_Rep1","S_24h_CSA6_Rep1","S_24h_CSAcon_Rep1","S_24h_CSA2_Rep2","S_24h_CSA4_Rep2","S_24h_CSA6_Rep2","S_24h_CSAcon_Rep2","S_24h_CSA2_Rep3","S_24h_CSA4_Rep3","S_24h_CSA6_Rep3","S_24h_CSAcon_Rep3"
"CHAC1_1279",162,55,46,18,85,19,17,11,75,50,32,18
"GLRX_2674",161,179,214,142,164,104,153,72,163,209,189,106
"MEFV_4116",0,0,0,3,0,0,1,2,0,2,0,0
"STXBP1_6866",10,27,19,19,31,31,18,1,4,11,6,8
"AKAP8L_196",42,35,42,59,37,24,31,19,21,55,32,26
"AKR1C1_199",3510,2773,3384,3704,3985,3856,2482,2197,2811,3338,3026,3266
"CTSL_1645",1014,670,598,502,970,509,465,334,914,741,676,748
"IGFBP4_3271",62,65,52,51,64,66,39,49,24,42,59,91
"RAP1GAP_5729",0,0,7,0,6,0,0,3,1,3,2,4
"COQ8A_114",75,65,82,57,72,52,51,17,45,71,59,71
"CD4_1128",0,0,0,0,0,0,1,0,3,0,0,0
"FDFT1_2382",52,27,22,32,33,22,17,39,26,24,18,65
"MAPK1_3989",21,29,55,38,53,16,11,4,28,23,46,32
"STIP1_6841",87,93,122,82,112,114,61,81,60,81,72,83
"AGRN_165",405,625,634,612,231,309,430,370,334,464,595,495
"ABCG1_37",0,1,0,0,0,0,3,0,3,0,0,0
"COPS3_1496",63,49,75,61,80,41,38,49,40,61,54,63
"HTR4_3169",0,0,1,0,0,0,0,0,0,0,0,0
"PFDN2_5078",71,44,49,31,119,106,39,39,47,27,30,46
"TSC22D3_7366",135,137,73,79,124,39,40,18,81,84,49,61
"BCL2L2_665",67,72,49,81,64,79,69,52,78,121,60,115
"ERBB3_2206",56,112,81,122,37,39,45,100,57,135,105,98
"ABL1_46",14,10,20,18,12,25,3,5,24,13,10,24
"SQLE_6736",180,124,154,105,232,159,68,52,129,90,103,165
"AFMID_157",173,283,241,374,130,150,149,151,148,294,285,214
"CLN3_1392",8,3,3,10,0,10,3,6,4,1,8,2
"GTF2E2_2835",156,131,142,143,151,88,134,67,141,134,154,108
"MUC1_4366",0,0,2,0,1,3,2,1,1,0,2,0
"TOP2A_7277",12,9,26,26,8,1,12,31,2,26,21,21
"ALDH18A1_218",32,28,44,45,48,61,19,17,24,44,37,36
"ATG3_504",248,261,243,165,267,202,200,164,214,225,267,176
"ECH1_2022",12,5,14,9,18,19,9,11,5,5,6,20
"AARS_3",710,610,452,404,688,545,388,260,642,423,513,489
"RPS5_6011",649,646,730,667,903,898,493,400,496,631,549,728
"GRK2_152",51,55,38,62,42,66,26,71,69,55,40,46
"CHD1L_1283",137,178,180,196,93,88,81,83,112,150,203,155
"GNS_2725",109,135,118,83,146,92,36,45,68,78,73,95
"MFAP1_4142",33,24,30,34,19,26,21,22,38,54,33,26
"TGFB3_7059",2,8,15,12,1,20,14,15,4,16,10,7
"AKT1_210",88,72,104,84,46,87,44,53,39,74,87,86
"APOE_358",190,224,227,254,269,400,172,232,153,200,202,276
"DDX39B_1813",364,430,448,535,362,288,239,262,427,428,417,436
"KCNQ2_3525",0,2,1,0,1,12,2,0,0,0,0,0
"RFC5_5812",0,15,4,15,17,4,5,4,16,16,16,8
"ADCY8_120",0,1,0,1,2,0,0,0,0,0,0,0
"CDK4_1203",1411,1000,1158,955,1333,1055,973,682,1337,1104,1304,1235
"FOS_2461",60,3,5,4,52,10,6,0,39,15,12,7
