Name,HSE,smiles
NCGC00178831-03,0,[Cl-].C[n+]1c2cc(N)ccc2cc2c1cc(N)cc2.n1c2cc(N)ccc2cc2c1cc(N)cc2	
NCGC00166114-03,0,c12c(c(c3c(C(=O)[O-])cccc3)c3c(o1)c(c(c(c3)Br)[O-])Br)cc(c(=O)c2Br)Br.[Na+].[Na+]	
NCGC00263563-01,0,[C@]1(O[C@H]([C@@H]([C@H]([C@@H]1C)OC)OC)[C@@H]([C@H]1O[C@]2(O[C@]([C@@H]3O[C@]([C@@H]4O[C@@H]([C@H]5O[C@@]([C@@H](C[C@@H]5C)C)(O)C)C[C@@H]4O[C@H]4O[C@H]([C@@H]([C@H](C4)OC)OC)C)(CC3)C)(CC2)C)C[C@@H]([C@H]1C)O)C)(CC(=O)[O-])O.[NH4+]	
NCGC00013058-02,1,C(=C\1/C=CC(=[N+](C)C)C=C1)(\c1ccc(cc1)N(C)C)/c1ccccc1.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O.C(=C\1/C=CC(=[N+](C)C)C=C1)(\c1ccc(cc1)N(C)C)/c1ccccc1.C(=O)(C(=O)O)O	
NCGC00018301-05,1,CCCCCCCCN[C@@H](C)[C@H](O)c1ccc(SC(C)C)cc1	
NCGC00249897-01,1,Cc1c2O[Hg]c2c(cc1)N(=O)=O	
NCGC00016000-18,1,S=C(N(CC)CC)SSC(=S)N(CC)CC	
NCGC00094089-01,0,c12c([C@@H]([C@](CC1)(CCN(CCCc1[nH]c3c(cccc3)n1)C)OC(=O)COC)C(C)C)ccc(c2)F.Cl.Cl	
NCGC00263579-01,0,c12c(cc(cc1)F)CC[C@H](O2)[C@H](CNC[C@@H]([C@H]1CCc2c(O1)ccc(c2)F)O)O.Cl	
NCGC00091258-05,1,c1(c(cc(cc1)Cl)Cl)C(=O)CCl	
NCGC00263656-01,0,[C@]12([C@]([C@H]3[C@@H]([C@@]4([C@](CC3)(C[C@H](C[C@H]4O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)O)CO)[C@@H](C1)O)(O)CC[C@@H]2C1=CC(=O)OC1)C	
NCGC00091112-09,1,C1(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=CC(=[N+](C)C)C=C1.[Cl-]	
NCGC00177980-03,1,ON(=O)=O.Clc1ccc(CO/N=C(\Cn2ccnc2)/c2ccc(Cl)cc2Cl)c(c1)Cl	
NCGC00015959-09,1,[n+]1(c2c(c3c(c1)c1c(OCO1)cc3)ccc1c2cc2c(c1)OCO2)C	
NCGC00017112-10,1,Cc1cc(=O)n(O)c(c1)C1CCCCC1.NCCO	
NCGC00015747-09,1,C1(=C(C(=O)OC)[C@@H](c2cccc(N(=O)=O)c2)C(=C(C)N1)C(=O)OCCN(C)Cc1ccccc1)C	
NCGC00167493-04,0,[C@@H]1(C(=C(NC(=C1C(=O)OC)C)C)C(=O)OCCN1CCN(CC1)C(c1ccccc1)c1ccccc1)c1cc(ccc1)N(=O)=O.Cl.Cl	
NCGC00273481-01,0,C1(c2c(Sc3c1cccc3)cccc2)C[C@@H]1CN(CCC1)C.Cl	
NCGC00161831-04,0,c12nc(C(F)(F)F)cc(c2cccc1C(F)(F)F)[C@@H]([C@@H]1NCCCC1)O.Cl	
NCGC00159424-04,1,S=C(N(C)C)SC(=S)N(C)C	
NCGC00091563-12,1,S=C(N(C)C)SSC(=S)N(C)C	
NCGC00015273-19,0,c1cc2c(cc1)N(CCCN(C)C)c1c(S2)ccc(Cl)c1	
NCGC00257649-01,0,n1(c2c(nc1NC1CCN(CC1)CCc1ccc(cc1)OC)cccc2)Cc1ccc(cc1)F	
NCGC00262909-01,0,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(c(ccc4)O)C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N	
NCGC00096056-02,1,c12c(c3c(nc1ccc(c2)OCC)cc(cc3)N)N.[C@H](C(=O)O)(C)O	
NCGC00262929-01,0,CCCCCCOC(=O)/N=C(\N)/c1ccc(NCc2nc3c(ccc(c3)C(=O)N(CCC(=O)OCC)c3ncccc3)n2C)cc1	
NCGC00159441-03,0,[C@@]12([C@@]([C@@H](C3=CC(=O)OC3)CC2)([C@@H](C[C@@H]2[C@@]3([C@@H](C[C@@H](O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)CC3)CC[C@@H]12)C)O)C)O	
NCGC00142623-04,0,O([C@H]1C[C@@H]([C@@H]([C@H](O1)C)O[C@@H]1O[C@@H]([C@H]([C@H](C1)O)O[C@H]1C[C@@H]([C@@H]([C@H](O1)C)O)O)C)O)[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@@]1(CC[C@@H]2C1=CC(=O)OC1)O)C)C	
NCGC00344555-01,0,[C@@]12([C@@]([C@@H](c3coc(=O)cc3)CC2)(CC[C@@H]2[C@@]3(C(=C[C@@H](O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)CC3)CC[C@@H]12)C)C)O	
NCGC00159476-09,1,C(=O)(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O	
NCGC00160275-03,0,Cc1c2c(cc3c4c2c(c(c1)O)C(=O)c1c4c(c(O)cc1O)C(=O)C3(C)C)O	
NCGC00018250-06,1,c1(c(cc(cc1)Cl)Cl)[C@H](SCc1ccc(Cl)cc1)Cn1cncc1.N(=O)(=O)O	
NCGC00253588-01,1,CC[C@@]1(O)C(=O)OCc2c1cc1n(Cc3c(/C=N/OC(C)(C)C)c4ccccc4nc13)c2=O	
NCGC00166070-02,0,CCCCCCCCCCOC[C@H](O)CN.Cl	
NCGC00167430-04,1,c1(c(scc1)Cl)CO[C@@H](c1c(cc(cc1)Cl)Cl)Cn1cncc1	
NCGC00016710-05,0,[C@@](c1ccc(cc1)Cl)(c1ccccc1)(OCC[C@@H]1N(CCC1)C)C.C(=O)(/C=C/C(=O)O)O	
NCGC00016059-13,0,c1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1c(S2)ccc(SC)c1	
NCGC00161621-03,0,c12c3c(cc4c1OCO4)CCN([C@H]3Cc1ccc(cc1)Oc1cc(C[C@@H]3c4cc(O2)c(cc4CCN3C)OC)ccc1OC)C	
NCGC00162179-08,0,C\1(=C/CCN2CCN(CC2)CCO)/c2c(Sc3c1cccc3)ccc(C(F)(F)F)c2	
NCGC00181782-03,0,c1(c2c(n(c1)c1ccc(cc1)F)ccc(c2)Cl)C1CCN(CC1)CCN1C(=O)NCC1	
NCGC00263542-01,0,NC(=O)n1c(c(C(=O)c2cccs2)c2cc(ccc12)Cl)O	
NCGC00164631-05,0,c12c(ccc(c1)F)NC(=O)/C/2=C\C1=C([C@H](C(=N1)C)C(=O)NCCN(CC)CC)C.C(C(=O)O)[C@@H](C(=O)O)O	
NCGC00166245-04,0,Nc1ccc2cc3ccc(cc3nc2c1)N.Nc1ccc2cc3ccc(cc3nc2c1)N.S(=O)(=O)(O)O	
NCGC00253592-01,1,c12c(cccc1)c(cc(c2O)C)O	
NCGC00181767-03,0,c1(O)c(O)cc(C(=O)c2ccc(C)cc2)cc1N(=O)=O	
NCGC00164283-07,0,C(CCCCCCCCCCCCCCC)[N+](C)(C)C.[Br-]	
NCGC00187943-02,0,[Cl-].CCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C	
NCGC00179596-03,1,c1(S[C@H](Cn2cncc2)CCc2ccc(Cl)cc2)c(Cl)cccc1Cl.N(=O)(=O)O	
NCGC00166146-02,0,[C@@]12([C@H]([C@H]3[C@@H](c4c(cc(OC5CCCC5)cc4)CC3)CC2)CC[C@]1(C#C)O)C	
NCGC00261967-01,0,CC(=CCC/C(=C/CC/C(=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)/C)/C)C	
NCGC00018254-08,1,c1ccc(cc1)[C@@H](n1ccnc1)c1ccc(cc1)c1ccccc1	
NCGC00167490-03,0,CCCCN(CCCC)C[C@@H](O)c1c2c3ccc(Cl)cc3/C(=C/c3ccc(Cl)cc3)/c2cc(c1)Cl	
NCGC00016622-08,0,c1ccc2c(c1)c(=O)c1c(s2)c(CO)ccc1NCCN(CC)CC	
NCGC00015838-06,0,CCC(=O)c1cc2c(Sc3c(cccc3)N2CCCN(C)C)cc1.Cl	
NCGC00025187-02,0,C[C@@H]1CN(CCCn2c3c(cccc3)c3c2cccc3)C[C@H](C)N1.Cl.Cl	
