Name,ER-LBD,smiles
NCGC00166114-03,0,c12c(c(c3c(C(=O)[O-])cccc3)c3c(o1)c(c(c(c3)Br)[O-])Br)cc(c(=O)c2Br)Br.[Na+].[Na+]	
NCGC00263563-01,0,[C@]1(O[C@H]([C@@H]([C@H]([C@@H]1C)OC)OC)[C@@H]([C@H]1O[C@]2(O[C@]([C@@H]3O[C@]([C@@H]4O[C@@H]([C@H]5O[C@@]([C@@H](C[C@@H]5C)C)(O)C)C[C@@H]4O[C@H]4O[C@H]([C@@H]([C@H](C4)OC)OC)C)(CC3)C)(CC2)C)C[C@@H]([C@H]1C)O)C)(CC(=O)[O-])O.[NH4+]	
NCGC00013058-02,0,C(=C\1/C=CC(=[N+](C)C)C=C1)(\c1ccc(cc1)N(C)C)/c1ccccc1.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O.C(=C\1/C=CC(=[N+](C)C)C=C1)(\c1ccc(cc1)N(C)C)/c1ccccc1.C(=O)(C(=O)O)O	
NCGC00016000-18,0,S=C(N(CC)CC)SSC(=S)N(CC)CC	
NCGC00263579-01,0,c12c(cc(cc1)F)CC[C@H](O2)[C@H](CNC[C@@H]([C@H]1CCc2c(O1)ccc(c2)F)O)O.Cl	
NCGC00091258-05,0,c1(c(cc(cc1)Cl)Cl)C(=O)CCl	
NCGC00263656-01,0,[C@]12([C@]([C@H]3[C@@H]([C@@]4([C@](CC3)(C[C@H](C[C@H]4O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)O)CO)[C@@H](C1)O)(O)CC[C@@H]2C1=CC(=O)OC1)C	
NCGC00166121-03,0,[N+](CCCCCCCCCCCCCC)(C)(C)C.[Br-]	
NCGC00257773-01,0,[N+](CCCCCCCCCCCC)(C)(C)CCOc1ccccc1.[Br-]	
NCGC00091023-06,0,[n+]1(CCCCCCCCCCCCCCCC)ccccc1.[Br-]	
NCGC00091112-09,1,C1(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=CC(=[N+](C)C)C=C1.[Cl-]	
NCGC00177980-03,0,ON(=O)=O.Clc1ccc(CO/N=C(\Cn2ccnc2)/c2ccc(Cl)cc2Cl)c(c1)Cl	
NCGC00179665-04,1,[C@@]12(C(=Cc3c(C2)cno3)CC[C@@H]2[C@@H]1CC[C@]1([C@H]2CC[C@]1(C#C)O)C)C	
NCGC00344566-01,0,c1c(cc(cc1[C@H](O[C@@H]1[C@@H](N(CCO1)CC1=NC(=O)N=N1)[C@@H]1CC[C@H](CC1)F)C)C(F)(F)F)C(F)(F)F	
NCGC00015959-09,1,[n+]1(c2c(c3c(c1)c1c(OCO1)cc3)ccc1c2cc2c(c1)OCO2)C	
NCGC00015747-09,0,C1(=C(C(=O)OC)[C@@H](c2cccc(N(=O)=O)c2)C(=C(C)N1)C(=O)OCCN(C)Cc1ccccc1)C	
NCGC00167493-04,0,[C@@H]1(C(=C(NC(=C1C(=O)OC)C)C)C(=O)OCCN1CCN(CC1)C(c1ccccc1)c1ccccc1)c1cc(ccc1)N(=O)=O.Cl.Cl	
NCGC00273481-01,0,C1(c2c(Sc3c1cccc3)cccc2)C[C@@H]1CN(CCC1)C.Cl	
NCGC00091563-12,0,S=C(N(C)C)SSC(=S)N(C)C	
NCGC00015273-19,0,c1cc2c(cc1)N(CCCN(C)C)c1c(S2)ccc(Cl)c1	
NCGC00257649-01,0,n1(c2c(nc1NC1CCN(CC1)CCc1ccc(cc1)OC)cccc2)Cc1ccc(cc1)F	
NCGC00159441-03,0,[C@@]12([C@@]([C@@H](C3=CC(=O)OC3)CC2)([C@@H](C[C@@H]2[C@@]3([C@@H](C[C@@H](O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4C[C@@H]([C@@H]([C@H](O4)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)CC3)CC[C@@H]12)C)O)C)O	
NCGC00142623-04,0,O([C@H]1C[C@@H]([C@@H]([C@H](O1)C)O[C@@H]1O[C@@H]([C@H]([C@H](C1)O)O[C@H]1C[C@@H]([C@@H]([C@H](O1)C)O)O)C)O)[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@@]1(CC[C@@H]2C1=CC(=O)OC1)O)C)C	
NCGC00159476-09,0,C(=O)(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O	
NCGC00160275-03,0,Cc1c2c(cc3c4c2c(c(c1)O)C(=O)c1c4c(c(O)cc1O)C(=O)C3(C)C)O	
NCGC00166120-02,0,[N+](CCCCCCCCCCCCCCCC)(CC)(C)C.[Br-]	
NCGC00016373-08,0,c1c(ccc(c1)OCCOCC[N+](Cc1ccccc1)(C)C)C(CC(C)(C)C)(C)C.[Cl-]	
NCGC00016789-06,0,c1(c(ccc(c1)OCCOCC[N+](Cc1ccccc1)(C)C)C(CC(C)(C)C)(C)C)C.[Cl-]	
NCGC00018250-06,0,c1(c(cc(cc1)Cl)Cl)[C@H](SCc1ccc(Cl)cc1)Cn1cncc1.N(=O)(=O)O	
NCGC00015096-17,0,c1ccc2c(c1)oc(CCCC)c2C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	
NCGC00016710-05,0,[C@@](c1ccc(cc1)Cl)(c1ccccc1)(OCC[C@@H]1N(CCC1)C)C.C(=O)(/C=C/C(=O)O)O	
NCGC00016059-13,0,c1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1c(S2)ccc(SC)c1	
NCGC00162179-08,0,C\1(=C/CCN2CCN(CC2)CCO)/c2c(Sc3c1cccc3)ccc(C(F)(F)F)c2	
NCGC00181782-03,0,c1(c2c(n(c1)c1ccc(cc1)F)ccc(c2)Cl)C1CCN(CC1)CCN1C(=O)NCC1	
NCGC00263542-01,0,NC(=O)n1c(c(C(=O)c2cccs2)c2cc(ccc12)Cl)O	
NCGC00181767-03,0,c1(O)c(O)cc(C(=O)c2ccc(C)cc2)cc1N(=O)=O	
NCGC00016345-08,0,c1(O)cc2oc(=O)cc(C)c2cc1	
NCGC00187943-02,0,[Cl-].CCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C	
NCGC00166247-02,0,[I-].c1c2c(ccc1)ccc([n+]2CC)/C=C/C=c/1\n(c2c(cc1)cccc2)CC	
NCGC00179596-03,0,c1(S[C@H](Cn2cncc2)CCc2ccc(Cl)cc2)c(Cl)cccc1Cl.N(=O)(=O)O	
NCGC00166146-02,1,[C@@]12([C@H]([C@H]3[C@@H](c4c(cc(OC5CCCC5)cc4)CC3)CC2)CC[C@]1(C#C)O)C	
NCGC00166290-03,0,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCCCCCCC)O	
NCGC00167490-03,0,CCCCN(CCCC)C[C@@H](O)c1c2c3ccc(Cl)cc3/C(=C/c3ccc(Cl)cc3)/c2cc(c1)Cl	
NCGC00016622-08,0,c1ccc2c(c1)c(=O)c1c(s2)c(CO)ccc1NCCN(CC)CC	
NCGC00015838-06,0,CCC(=O)c1cc2c(Sc3c(cccc3)N2CCCN(C)C)cc1.Cl	
NCGC00186653-01,0,N1(c2c(Sc3c1cccc3)ccc(C(F)(F)F)c2)CCCN1CCN(CC1)C.Cl.Cl	
NCGC00025302-02,0,c1ccc2c(c1)c(=O)n(CCN1CCC(CC1)C(=O)c1ccc(cc1)F)c(=S)[nH]2.Cl	
NCGC00015619-13,0,C1(=C2c3c(CCc4c2ccc(Cl)c4)cccn3)CCN(C(=O)OCC)CC1	
NCGC00013683-06,0,c1ccc2c(c1)/C(=C\CCN(C)C)/c1c(S2)ccc(Cl)c1	
NCGC00015563-13,0,N1(c2c(CCc3c1cccc3)cccc2)CCCN(C)C	
NCGC00179536-02,0,c12c3O[C@@](C2=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)Nc2c(c(c1c(c2O)c(c3C)O)O)/C=N/N1CCN(CC1)C)/C)C)O)C)O)C)OC(=O)C)C)OC)C	
NCGC00160483-02,0,CN1CCN(CC1)CCC(=O)N1c2ccccc2Sc2ccc(cc12)C(F)(F)F	
NCGC00167729-03,0,n1(c(C(=O)Nc2nc(c3c(Cl)cccc3)cs2)cc2c1cccc2)CC(=O)O	
NCGC00015856-10,0,N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN1CCN(CC1)C.C(=O)(/C=C\C(=O)O)O.C(=O)(/C=C\C(=O)O)O	
NCGC00263581-01,1,[C@@]12([C@@H]3[C@H]([C@H]4[C@@]([C@](CC4)(O)C)(CC3)C)CC[C@H]2CC(=O)/C(=C\O)/C1)C	
NCGC00025349-05,0,[C@H]12c3c(c4c(C1)ccc(c4O)O)cccc3CCN2C	
NCGC00015826-13,0,c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1c(S2)ccc(Cl)c1	
NCGC00160664-03,0,Oc1ccc(c2c1nccc2)N(=O)=O	
NCGC00179676-03,1,[C@@]12([C@H]([C@H]3[C@@H]([C@@H]4C(=CCCC4)CC3)CC2)CC[C@@]1(C#C)O)C	
NCGC00095169-05,0,CCCCCCCCCCCCCCCCO[P@](=O)([O-])OCC[N+](C)(C)C	
