index	EXP_ID	GROUP_ID	INDIVIDUAL_ID	COMPOUND_NAME	SINGLE_REPEAT_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_UNIT	DOSE_LEVEL	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
0	40	1	1	acetaminophen	Single	3 hr	0	mg/kg	Control	877.0	104.0	83.0	172.0	0.29	0.04	196.0	17.0	0.3	141.0	6.7	102.0	10.9	12.1	5.6	3.6	1.8	83.0	50.0	128.0	2.0
5	40	2	1	acetaminophen	Single	6 hr	0	mg/kg	Control	1043.0	107.0	54.0	180.0	0.33	0.05	196.0	17.0	0.4	143.0	6.3	103.0	11.7	14.3	5.9	3.7	1.7	77.0	34.0	134.0	1.0
10	40	3	1	acetaminophen	Single	9 hr	0	mg/kg	Control	771.0	92.0	65.0	158.0	0.29	0.11	194.0	14.0	0.3	142.8	5.83	106.9	10.4	10.0	5.6	3.6	1.8	57.0	32.0	117.0	1.0
15	40	4	1	acetaminophen	Single	24 hr	0	mg/kg	Control	1011.0	80.0	116.0	163.0	0.2	0.04	210.0	17.0	0.3	139.0	4.9	102.0	10.7	8.5	5.9	4.2	2.5	53.0	37.0	101.0	1.0
20	40	11	1	acetaminophen	Single	3 hr	300	mg/kg	Low	821.0	92.0	67.0	150.0	0.19	0.04	211.0	13.0	0.2	142.0	5.3	106.0	10.4	12.1	5.4	3.4	1.7	67.0	32.0	101.0	0.0
24	40	12	1	acetaminophen	Single	6 hr	300	mg/kg	Low	647.0	82.0	35.0	133.0	0.29	0.05	168.0	10.0	0.3	139.0	4.8	104.0	9.5	12.1	5.4	3.4	1.7	60.0	23.0	85.0	1.0
29	40	13	1	acetaminophen	Single	9 hr	300	mg/kg	Low	858.0	90.0	60.0	158.0	0.29	0.11	190.0	14.0	0.3	142.0	5.0	105.2	10.4	11.9	5.6	3.6	1.8	54.0	28.0	51.0	1.0
34	40	14	1	acetaminophen	Single	24 hr	300	mg/kg	Low	993.0	88.0	207.0	185.0	0.29	0.05	194.0	20.0	0.5	142.0	5.0	103.0	11.1	9.3	6.1	4.3	2.4	69.0	48.0	132.0	2.0
39	40	16	1	acetaminophen	Single	3 hr	600	mg/kg	Middle	768.0	68.0	37.0	118.0	0.23	0.07	186.0	14.0	0.3	140.0	5.4	101.0	10.8	13.1	5.6	3.4	1.6	83.0	47.0	125.0	2.0
44	40	17	1	acetaminophen	Single	6 hr	600	mg/kg	Middle	969.0	73.0	39.0	138.0	0.28	0.01	201.0	10.0	0.3	142.0	4.1	105.0	10.6	12.3	5.7	3.5	1.6	67.0	34.0	153.0	1.0
49	40	18	1	acetaminophen	Single	9 hr	600	mg/kg	Middle	782.0	81.0	45.0	140.0	0.25	0.13	176.0	15.0	0.3	140.8	5.55	104.7	10.3	10.6	5.6	3.6	1.8	70.0	28.0	76.0	2.0
54	40	19	1	acetaminophen	Single	24 hr	600	mg/kg	Middle	1395.0	85.0	167.0	168.0	0.28	0.04	182.0	17.0	0.4	141.0	5.8	104.0	10.8	9.4	6.0	4.1	2.2	59.0	46.0	97.0	1.0
